datetime,humidity,temperature,PC0_1,PC0_3,PC0_5,PC10,PC1_0,PC2_5,PC5_0,PM0_1,PM0_3,PM0_5,PM10,PM1_0,PM2_5,PM5_0
05-04-2026-00-14-55,63.7,29.5,1131467.0,379508.0,236859.0,0.0,16896.0,761.0,15.0,0.945409,9.507129,34.24478,59.93843,48.36246,58.3126,59.93843
05-04-2026-00-14-56,63.6,29.5,1126632.0,382043.0,242164.0,0.0,18124.0,875.0,15.0,0.941369,9.560259,34.85192,63.01037,49.99581,61.43612,63.01037
05-04-2026-00-14-57,63.6,29.5,1148431.0,398752.0,253211.0,0.0,20319.0,989.0,12.0,0.959583,9.955449,36.40088,67.63966,53.37879,66.30512,67.63966
05-04-2026-00-14-58,63.9,29.5,1179924.0,420056.0,260683.0,0.0,21260.0,1022.0,8.0,0.985898,10.46237,37.68811,69.67677,55.45284,68.8067,69.67677
05-04-2026-00-14-59,63.9,29.5,1213036.0,441607.0,266472.0,0.0,21879.0,1012.0,5.0,1.013565,10.97624,38.8066,70.89532,57.08807,70.3091,70.89532
05-04-2026-00-15-00,63.7,29.5,1243689.0,459802.0,268513.0,0.0,22004.0,957.0,4.0,1.039177,11.41232,39.45586,70.76532,57.84172,70.34512,70.76532
05-04-2026-00-15-01,63.7,29.5,1272427.0,471340.0,268936.0,0.0,21969.0,882.0,2.0,1.06319,11.69664,39.7844,69.95986,58.14164,69.66128,69.95986
05-04-2026-00-15-02,63.7,29.5,1299429.0,479587.0,268563.0,0.0,22069.0,794.0,1.0,1.085751,11.90524,39.95397,68.97411,58.39468,68.77512,68.97411
05-04-2026-00-15-03,63.7,29.5,1322582.0,485332.0,266971.0,0.0,22027.0,667.0,0.0,1.105097,12.0542,39.93672,67.15767,58.34226,67.06558,67.15767
05-04-2026-00-15-04,63.8,29.5,1337858.0,486643.0,262950.0,0.0,21307.0,524.0,0.0,1.117861,12.09655,39.55909,64.28837,57.36253,64.21842,64.28837
05-04-2026-00-15-05,63.8,29.5,1335973.0,477753.0,253894.0,0.0,19587.0,353.0,0.0,1.116286,11.8944,38.41116,59.44453,54.77766,59.40037,59.44453
05-04-2026-00-15-06,63.8,29.5,1333588.0,468897.0,253939.0,0.0,20096.0,345.0,4.0,1.114293,11.69261,38.21408,59.98571,55.0055,59.51383,59.98571
05-04-2026-00-15-07,63.8,29.5,1330587.0,460659.0,255372.0,0.0,20761.0,393.0,9.0,1.111786,11.50427,38.17533,61.66822,55.52255,60.6618,61.66822
